13-Al-27(n,elastic) ENDF/B-VII.1
364815.0,5.5054
365508.0,6.95336
366686.0,9.7647
367241.0,10.5044
367553.0,10.6086
368169.0,10.1732
369269.0,8.19147
370215.0,6.56822
371029.0,5.59238
371909.0,4.91499
372903.0,4.50285
373599.0,4.41292
374326.0,4.52656
375083.0,4.95521
375993.0,5.73055
376159.0,5.77324
376465.0,5.63214
376887.0,4.98802
377570.0,3.7127
377963.0,3.18381
378400.0,2.77704
378982.0,2.4234
379855.0,2.09319
382782.0,1.32799
384395.0,0.792463
384626.0,0.736386
384856.0,0.714175
385029.0,0.736918
385190.0,0.802606
385322.0,0.902311
385466.0,1.07356
385610.0,1.32266
385754.0,1.6588
385936.0,2.20349
386403.0,3.8428
386653.0,4.48058
386860.0,4.77473
387137.0,4.89338
387736.0,4.63711
389003.0,3.89288
390420.0,3.41226
392003.0,3.13124
394642.0,2.9042
397280.0,2.84558
400973.0,2.94662
404667.0,3.26806
408150.0,3.80575
415115.0,5.24276
419336.0,5.66639
419652.0,5.87049
419863.0,6.28894
419994.0,6.9312
420095.0,7.85491
420211.0,9.10166
420255.0,9.2633
420324.0,8.88759
420474.0,7.25916
420588.0,6.5051
420737.0,6.02972
420980.0,5.7147
421711.0,5.46291
427170.0,5.09285
447707.0,4.71593
473703.0,3.77999
475268.0,3.86306
475894.0,4.04162
476334.0,4.35656
476651.0,4.82767
476944.0,5.59678
477289.0,6.74713
477454.0,6.95768
477619.0,6.72968
478113.0,5.17985
478435.0,4.54068
478817.0,4.12371
479454.0,3.7879
480792.0,3.50259
485563.0,2.91547
487315.0,2.5227
488482.0,2.18304
488716.0,2.16352
488949.0,2.21149
489183.0,2.37923
489358.0,2.62204
489592.0,3.13181
490164.0,4.79657
490445.0,5.2992
490792.0,5.47544
491628.0,5.10441
492725.0,4.6149
493302.0,4.51439
493775.0,4.65623
494075.0,5.03607
494384.0,5.52426
494445.0,5.54343
494616.0,5.40517
495026.0,4.77177
495476.0,4.38522
496433.0,4.05726
498790.0,3.76447
505434.0,3.4344
515850.0,3.19169
518544.0,3.29156
520160.0,3.54981
521668.0,4.04607
523793.0,4.84235
525082.0,5.33123
526890.0,6.66819
527636.0,6.84859
528792.0,6.55086
531724.0,5.38805
534552.0,4.71096
538666.0,4.16669
544708.0,3.76019
545245.0,3.74747
545637.0,3.83007
545730.0,3.99672
545785.0,4.27339
545860.0,4.78935
545875.0,4.81516
545921.0,4.60801
545986.0,4.15128
546060.0,3.928
546105.0,3.90241
546168.0,4.0339
546257.0,4.69641
546265.0,4.71032
546297.0,4.57605
546346.0,4.16837
546398.0,3.93145
546482.0,3.80532
547013.0,3.69272
552278.0,3.57999
557455.0,3.68801
561597.0,4.03176
565738.0,4.72047
569310.0,5.32659
570570.0,5.39216
572813.0,5.20622
576610.0,4.32471
581183.0,3.21415
583022.0,2.89737
583711.0,2.8579
584447.0,2.93507
585137.0,3.21145
585688.0,3.64496
586022.0,4.0683
586108.0,4.29547
586165.0,4.63741
586206.0,5.15475
586262.0,6.23309
586289.0,6.42707
586312.0,6.25604
586376.0,5.21723
586415.0,4.8635
586481.0,4.67573
586542.0,4.65253
587450.0,5.18111
587768.0,5.22716
588720.0,4.99239
591155.0,3.99082
592608.0,3.5679
592670.0,3.63294
592721.0,3.78946
592804.0,3.5338
594988.0,3.06752
596149.0,2.94866
596768.0,3.03873
597155.0,3.28392
597453.0,3.70317
597712.0,4.33729
598130.0,5.71113
