74-W-183(n,elastic) ENDF/B-VII.1
239.334,3.57352
239.433,3.66004
239.507,3.95674
239.556,4.36282
239.605,5.02782
239.655,6.0548
239.698,7.34523
239.743,9.17823
239.79,11.7404
239.844,15.587
239.904,21.0523
239.987,30.5402
240.155,52.0036
240.245,60.2949
240.326,63.2921
240.334,63.3235
240.409,61.3719
240.493,54.9937
240.724,29.4344
240.808,22.0449
240.871,17.8412
240.933,14.7583
241.007,12.1652
241.069,10.6971
241.143,9.50407
241.241,8.50912
241.382,7.68696
241.613,6.91621
241.997,6.14876
242.691,5.15081
242.728,5.14225
242.84,5.28963
242.915,5.61401
243.004,6.33583
243.104,7.62993
243.343,11.5307
243.439,12.4051
243.496,12.5419
243.6,12.0595
243.784,9.85553
243.941,8.05404
244.079,7.04823
244.266,6.35505
244.602,5.82208
245.447,5.03499
245.507,5.02714
245.685,5.22976
246.05,6.36177
246.14,6.43747
246.292,6.22227
246.543,5.6458
246.585,5.62049
246.73,5.81564
247.056,7.05006
247.144,7.16585
247.318,6.91303
247.617,6.02438
247.764,5.74867
248.176,5.38439
249.705,4.84597
253.444,3.83148
255.149,3.16
256.792,2.31452
257.025,2.26292
257.242,2.31744
257.397,2.48332
257.513,2.74067
257.61,3.10945
257.687,3.57657
257.755,4.19497
257.815,5.00821
257.869,6.08187
257.916,7.39048
257.962,9.22472
258.001,11.3154
258.041,14.2298
258.083,18.3217
258.125,23.8477
258.167,31.2371
258.208,40.7865
258.251,53.6719
258.297,71.9065
258.348,97.8962
258.404,134.273
258.469,187.889
258.556,276.281
258.733,473.813
258.826,547.326
258.909,573.113
258.915,573.293
258.99,556.229
259.064,507.903
259.188,384.21
259.32,245.114
259.398,178.009
259.464,132.654
259.524,101.526
259.584,78.2194
259.641,61.829
259.697,50.251
259.762,40.7285
259.818,34.9783
259.892,29.6017
259.985,25.1504
260.109,21.3339
260.264,18.255
260.481,15.4698
260.76,13.1923
261.132,11.2862
261.597,9.7976
262.217,8.56125
263.023,7.56305
264.108,6.71721
265.689,5.92533
269.198,4.75752
272.976,3.52364
275.046,2.62012
276.288,2.04813
276.754,1.93999
276.806,1.93878
277.025,1.97407
277.258,2.11692
277.433,2.33935
277.608,2.72008
277.753,3.22322
277.879,3.86647
277.996,4.71419
278.093,5.69332
278.19,7.03799
278.28,8.78587
278.358,10.8602
278.423,13.2
278.487,16.3661
278.546,20.2494
278.596,24.7498
278.648,30.8955
278.7,39.1674
278.751,50.3285
278.803,65.3441
278.855,85.3811
278.904,110.279
278.958,145.921
279.013,191.593
279.079,262.233
279.155,365.487
279.269,554.857
279.432,833.693
279.53,946.81
279.615,982.821
279.707,948.293
279.802,842.938
280.066,419.889
280.151,308.584
280.217,240.558
280.287,184.875
280.353,145.59
280.423,115.214
280.485,95.5641
280.563,77.9557
280.638,65.9797
280.726,56.0111
280.836,47.3455
280.984,39.4281
281.178,32.6211
281.411,27.236
281.696,22.8695
282.019,19.5418
282.472,16.4702
283.041,14.0039
283.701,12.1446
284.573,10.5264
286.057,8.74268
287.192,7.57702
287.338,7.78695
287.464,8.52889
287.573,9.83273
287.705,12.2848
287.91,16.4997
288.024,17.7663
288.07,17.883
288.181,17.2344
288.355,14.4584
288.534,11.4587
288.652,10.0981
288.771,9.24146
288.955,8.54139
289.139,8.19087
289.809,7.55548
293.433,5.66395
294.31,4.96754
294.882,4.23079
295.263,3.59655
295.318,3.56468
295.396,3.63997
295.462,3.90261
295.517,4.35022
295.573,5.10299
295.624,6.18517
295.678,7.78932
295.731,10.0014
295.785,12.9179
295.846,17.1901
295.92,23.6973
296.059,38.7269
296.19,52.267
296.287,58.6779
296.359,60.4358
296.44,59.0688
296.532,53.9091
296.812,29.8299
296.904,23.6709
296.995,19.1304
297.085,16.0393
