ENDF/B-VII.1 Angular Distribution of Neutrons: 7-N-14(n,elastic)
Incident Neutron Energy: 2.000000E+7 eV
  
Cosine Value    Normalized Probability
-9.990E-1   9.644E0
-1.000E0    9.739E0
ENDF/B-VII.1 Angular Distribution of Neutrons: 7-N-14(n,elastic)
Incident Neutron Energy: 2.700000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     9.543E-3
9.990E-1    9.467E-3
9.962E-1    9.246E-3
9.914E-1    8.903E-3
9.848E-1    8.476E-3
9.763E-1    8.013E-3
9.659E-1    7.566E-3
9.537E-1    7.190E-3
9.397E-1    6.939E-3
9.239E-1    6.857E-3
9.063E-1    6.976E-3
8.870E-1    7.317E-3
8.660E-1    7.882E-3
8.434E-1    8.657E-3
8.192E-1    9.613E-3
7.934E-1    1.071E-2
7.660E-1    1.188E-2
7.373E-1    1.308E-2
7.071E-1    1.423E-2
6.756E-1    1.527E-2
6.428E-1    1.616E-2
6.088E-1    1.684E-2
5.736E-1    1.729E-2
5.373E-1    1.751E-2
5.000E-1    1.752E-2
4.617E-1    1.737E-2
4.226E-1    1.714E-2
3.827E-1    1.696E-2
3.420E-1    1.696E-2
3.007E-1    1.736E-2
2.588E-1    1.836E-2
2.164E-1    2.021E-2
1.736E-1    2.317E-2
1.305E-1    2.752E-2
8.716E-2    3.349E-2
4.362E-2    4.129E-2
6.123E-17   5.104E-2
-4.362E-2   6.277E-2
-8.716E-2   7.636E-2
-1.305E-1   9.152E-2
-1.736E-1   1.078E-1
-2.164E-1   1.245E-1
-2.588E-1   1.408E-1
-3.007E-1   1.557E-1
-3.420E-1   1.684E-1
-3.827E-1   1.780E-1
-4.226E-1   1.840E-1
-4.617E-1   1.864E-1
-5.000E-1   1.862E-1
-5.373E-1   1.855E-1
-5.736E-1   1.876E-1
-6.088E-1   1.978E-1
-6.428E-1   2.229E-1
-6.756E-1   2.719E-1
-7.071E-1   3.554E-1
-7.373E-1   4.853E-1
-7.660E-1   6.744E-1
-7.934E-1   9.350E-1
-8.192E-1   1.279E0
-8.434E-1   1.714E0
-8.660E-1   2.247E0
-8.870E-1   2.875E0
-9.063E-1   3.594E0
-9.239E-1   4.389E0
-9.397E-1   5.239E0
-9.537E-1   6.116E0
-9.659E-1   6.987E0
-9.763E-1   7.815E0
-9.848E-1   8.560E0
-9.914E-1   9.186E0
-9.962E-1   9.659E0
-9.990E-1   9.954E0
-1.000E0    1.005E1
ENDF/B-VII.1 Angular Distribution of Neutrons: 7-N-14(n,elastic)
Incident Neutron Energy: 2.800000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     9.124E-3
9.990E-1    9.042E-3
9.962E-1    8.802E-3
9.914E-1    8.428E-3
9.848E-1    7.955E-3
9.763E-1    7.429E-3
9.659E-1    6.902E-3
9.537E-1    6.429E-3
9.397E-1    6.061E-3
9.239E-1    5.844E-3
9.063E-1    5.815E-3
8.870E-1    5.997E-3
8.660E-1    6.397E-3
8.434E-1    7.011E-3
8.192E-1    7.815E-3
7.934E-1    8.777E-3
7.660E-1    9.850E-3
7.373E-1    1.098E-2
7.071E-1    1.212E-2
6.756E-1    1.319E-2
6.428E-1    1.416E-2
